Institute,Program,Category,Gender,ClosingRank
Indian Institute of Technology Patna,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,848
Indian Institute of Technology Roorkee,Mathematics & Computing (5 Years Bachelor of Science and Master of Science (Dual Degree)),EWS,Female-only (including Supernumerary),849
Indian Institute of Technology Patna,B. Tech. (CSE) and M.Tech in CSE (5 Years B.Tech. + M.Tech./MS (Dual Degree)),SC,Gender-Neutral,852
Indian Institute of Technology Ropar,Electrical Engineering (Integrated Circuit Design and Technology) (4 Years Bachelor of Technology),ST,Gender-Neutral,852
Indian Institute of Technology Bombay,Economics (4 Years Bachelor of Science),SC,Gender-Neutral,855
Indian Institute of Technology Kharagpur,Industrial and Systems Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,856
Indian Institute of Technology (BHU) Varanasi,Electronics Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),856
Indian Institute of Technology Kharagpur,Industrial and Systems Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,857
Indian Institute of Technology Hyderabad,Materials Science and Metallurgical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,858
Indian Institute of Technology Roorkee,Mathematics & Computing (5 Years Bachelor of Science and Master of Science (Dual Degree)),SC,Female-only (including Supernumerary),858
Indian Institute of Technology Ropar,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,859
Indian Institute of Technology Hyderabad,Electrical Engineering (IC Design and Technology) (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,860
Indian Institute of Technology Bhubaneswar,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,862
Indian Institute of Technology Delhi,Electrical Engineering (Power and Automation) (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),864
Indian Institute of Technology Dharwad,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Gender-Neutral,864
Indian Institute of Technology (BHU) Varanasi,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,865
Indian Institute of Technology Guwahati,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),867
Indian Institute of Technology Delhi,Abu Dhabi Campus - Energy Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,868
Indian Institute of Technology Delhi,Biotechnology and Biochemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,869
Indian Institute of Technology Palakkad,Data Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),870
Indian Institute of Technology Kharagpur,Aerospace Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,871
Indian Institute of Technology Hyderabad,Biotechnology and Bioinformatics (4 Years Bachelor of Technology),ST,Gender-Neutral,872
Indian Institute of Technology Mandi,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),876
Indian Institute of Technology Delhi,Mechanical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),877
Indian Institute of Technology Bombay,Aerospace Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),879
Indian Institute of Technology Hyderabad,Mathematics and Computing (4 Years Bachelor of Technology),OPEN,Gender-Neutral,879
Indian Institute of Technology Bhilai,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,881
Indian Institute of Technology Tirupati,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,882
Indian Institute of Technology Delhi,Materials Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,883
Indian Institute of Technology Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-only (including Supernumerary),887
Indian Institute of Technology Kanpur,Statistics and Data Science (4 Years Bachelor of Science),SC,Female-only (including Supernumerary),888
Indian Institute of Technology Delhi,Engineering and Computational Mechanics (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),890
Indian Institute of Technology Dharwad,Electrical and Electronics Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,891
Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),892
Indian Institute of Technology Jodhpur,Electronics Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,892
Indian Institute of Technology Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,893
Indian Institute of Technology Hyderabad,Engineering Physics (4 Years Bachelor of Technology),ST,Gender-Neutral,894
Indian Institute of Technology Gandhinagar,Integrated Circuit Design & Technology (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),895
Indian Institute of Technology Delhi,Civil Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,896
Indian Institute of Technology Indore,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,896
Indian Institute of Technology Jodhpur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),897
Indian Institute of Technology Tirupati,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,898
Indian Institute of Technology Bhilai,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,900
Indian Institute of Technology Hyderabad,Computational Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,900
Indian Institute of Technology Madras,Mechanical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),901
Indian Institute of Technology Mandi,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,902
Indian Institute of Technology Kharagpur,Chemical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,902
Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),903
Indian Institute of Technology Gandhinagar,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,904
Indian Institute of Technology Bhilai,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),905
Indian Institute of Technology Hyderabad,Mathematics and Computing (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),911
Indian Institute of Technology Roorkee,Engineering Physics (4 Years Bachelor of Technology),ST,Gender-Neutral,911
Indian Institute of Technology Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),EWS,Gender-Neutral,912
Indian Institute of Technology Indore,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),912
Indian Institute of Technology Patna,B. Tech. (ECE) -M. Tech. in VLSI (5 Years B.Tech. + M.Tech./MS (Dual Degree)),ST,Gender-Neutral,916
Indian Institute of Technology Kharagpur,Biotechnology and Biochemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,918
Indian Institute of Technology (ISM) Dhanbad,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,919
Indian Institute of Technology Bombay,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,919
Indian Institute of Technology Madras,Engineering Design (5 Years Bachelor and Master of Technology (Dual Degree)),ST,Gender-Neutral,922
Indian Institute of Technology Goa,Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,925
Indian Institute of Technology Bhilai,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),EWS,Gender-Neutral,926
Indian Institute of Technology Roorkee,Engineering Physics (4 Years Bachelor of Technology),EWS,Gender-Neutral,929
Indian Institute of Technology Bombay,Civil Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,934
Indian Institute of Technology Roorkee,Production and Industrial Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,936
Indian Institute of Technology Delhi,Textile Technology (4 Years Bachelor of Technology),ST,Gender-Neutral,937
Indian Institute of Technology Roorkee,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,938
Indian Institute of Technology Madras,Civil Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,940
Indian Institute of Technology Jodhpur,Electronics Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,941
Indian Institute of Technology Bombay,Environmental Science and Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,942
Indian Institute of Technology Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,943
Indian Institute of Technology (BHU) Varanasi,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,946
Indian Institute of Technology Hyderabad,Chemical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,948
Indian Institute of Technology Gandhinagar,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),951
Indian Institute of Technology Roorkee,Energy Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,952
Indian Institute of Technology (ISM) Dhanbad,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,954
Indian Institute of Technology Hyderabad,Mechanical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),956
Indian Institute of Technology Kanpur,Mathematics and Scientific Computing (4 Years Bachelor of Science),SC,Female-only (including Supernumerary),956
Indian Institute of Technology Bombay,BS in Mathematics (4 Years Bachelor of Science),OPEN,Gender-Neutral,957
Indian Institute of Technology Hyderabad,Biomedical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),957
Indian Institute of Technology Guwahati,Electronics and Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,958
Indian Institute of Technology Kharagpur,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,960
Indian Institute of Technology Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),960
Indian Institute of Technology Delhi,Biotechnology and Biochemical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,964
Indian Institute of Technology Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),SC,Female-only (including Supernumerary),965
Indian Institute of Technology (ISM) Dhanbad,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,965
Indian Institute of Technology Delhi,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,966
Indian Institute of Technology Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),967
Indian Institute of Technology Roorkee,Mechanical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),969
Indian Institute of Technology Madras,Engineering Physics (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),970
Indian Institute of Technology Patna,B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing) (5 Years B.Tech. + M.Tech./MS (Dual Degree)),SC,Gender-Neutral,971
Indian Institute of Technology Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,971
Indian Institute of Technology Guwahati,Chemical Science and Technology (4 Years Bachelor of Technology),ST,Gender-Neutral,972
Indian Institute of Technology Delhi,Energy Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,974
Indian Institute of Technology Dharwad,Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,974
Indian Institute of Technology Bombay,Industrial Engineering and Operations Research (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,974
Indian Institute of Technology Ropar,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,976
Indian Institute of Technology Bombay,Economics (4 Years Bachelor of Science),EWS,Female-only (including Supernumerary),978
Indian Institute of Technology Indore,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,978
Indian Institute of Technology Mandi,B.Tech in Microelectronics & VLSI (4 Years Bachelor of Technology),ST,Gender-Neutral,979
Indian Institute of Technology Guwahati,Chemical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,981
Indian Institute of Technology Madras,Engineering Physics (4 Years Bachelor of Technology),SC,Gender-Neutral,982
Indian Institute of Technology Indore,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,985
Indian Institute of Technology (BHU) Varanasi,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,986
Indian Institute of Technology Roorkee,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-only (including Supernumerary),986
Indian Institute of Technology (ISM) Dhanbad,Mathematics and Computing (4 Years Bachelor of Technology),SC,Gender-Neutral,988
Indian Institute of Technology (ISM) Dhanbad,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),991
Indian Institute of Technology Bhubaneswar,Mathematics and Computing (4 Years Bachelor of Technology),SC,Gender-Neutral,992
Indian Institute of Technology Madras,Mechanical Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),993
Indian Institute of Technology Palakkad,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,993
Indian Institute of Technology Kharagpur,Economics (4 Years Bachelor of Science),EWS,Gender-Neutral,995
Indian Institute of Technology Mandi,B.Tech in Microelectronics & VLSI (4 Years Bachelor of Technology),EWS,Gender-Neutral,996
Indian Institute of Technology Delhi,Computer Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OPEN,Female-only (including Supernumerary),996
Indian Institute of Technology Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),SC,Female-only (including Supernumerary),998
Indian Institute of Technology Ropar,Artificial Intelligence and Data Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,999
Indian Institute of Technology Jodhpur,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),1000
Indian Institute of Technology Jodhpur,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),SC,Gender-Neutral,1001
Indian Institute of Technology Jodhpur,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,1001
Indian Institute of Technology Ropar,Mathematics and Computing (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),1001
Indian Institute of Technology Dharwad,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),1002
Indian Institute of Technology Kharagpur,Economics (4 Years Bachelor of Science),ST,Gender-Neutral,1006
Indian Institute of Technology Patna,Electrical and Electronics Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,1006
Indian Institute of Technology Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),1007
Indian Institute of Technology Hyderabad,Electrical Engineering (IC Design and Technology) (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),1008
Indian Institute of Technology (BHU) Varanasi,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),1008
Indian Institute of Technology Jammu,Chemical Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),1010
Indian Institute of Technology Madras,Physics (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,1011
Indian Institute of Technology Mandi,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),1012
Indian Institute of Technology Goa,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,1012
Indian Institute of Technology Patna,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),SC,Gender-Neutral,1014
Indian Institute of Technology Roorkee,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,1016
Indian Institute of Technology Bombay,Chemistry (4 Years Bachelor of Science),ST,Gender-Neutral,1017
Indian Institute of Technology Madras,Biological Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,1019
Indian Institute of Technology Madras,Civil Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),1020
Indian Institute of Technology Roorkee,Production and Industrial Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,1022
Indian Institute of Technology Kanpur,Mathematics and Scientific Computing (4 Years Bachelor of Science),OPEN,Gender-Neutral,1023
Indian Institute of Technology Ropar,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,1023
Indian Institute of Technology Madras,Naval Architecture and Ocean Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,1024
Indian Institute of Technology (BHU) Varanasi,Electronics Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),1026
Indian Institute of Technology Gandhinagar,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),1027
Indian Institute of Technology Kanpur,Materials Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,1029
Indian Institute of Technology Goa,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),1030
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,65917
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),53648
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,10180
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),16293
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,52241
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),56151
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",SC,Gender-Neutral,11090
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",ST,Gender-Neutral,15566
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,41817
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),43186
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,6634
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,13478
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),17214
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",SC,Gender-Neutral,4841
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),8402
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",ST,Gender-Neutral,3006
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,49650
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),54809
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,8740
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),9600
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,42794
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),39672
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,9501
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),7401
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC (PwD),Gender-Neutral,126
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,43332
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,33644
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),41891
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,1897
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,4972
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),6450
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,10647
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),16580
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,5276
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),7234
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,2306
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,52004
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),58821
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,2711
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,9381
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),9178
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,39530
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),44470
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,9466
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),11172
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,32136
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),16264
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,37500
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),46913
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,1098
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,5521
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),7111
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,12040
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),18509
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,5637
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1933
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1255
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),3134
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,14502
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),18113
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Female-only (including Supernumerary),686
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,2912
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3397
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,7779
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),10562
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,3299
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3812
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,3754
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),9914
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,10073
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),18149
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,241
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1463
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2555
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3642
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6862
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Female-only (including Supernumerary),364
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1916
