Institute,Program,Category,Gender,ClosingRank
Indian Institute of Technology Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Female-only (including Supernumerary),128
Indian Institute of Technology Guwahati,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),ST,Gender-Neutral,128
Indian Institute of Technology Kanpur,Aerospace Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,130
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),133
Indian Institute of Technology Indore,Mathematics and Computing (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,135
Indian Institute of Technology Ropar,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,136
Indian Institute of Technology Mandi,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,137
Indian Institute of Technology Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),EWS,Gender-Neutral,138
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),138
Indian Institute of Technology Madras,Mechanical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,139
Indian Institute of Technology Guwahati,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,140
Indian Institute of Technology Delhi,Electrical Engineering (4 Years Bachelor of Technology),EWS,Gender-Neutral,141
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,142
Indian Institute of Technology Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),144
Indian Institute of Technology Mandi,Data Science and Artificial Intelligence (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,145
Indian Institute of Technology Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),EWS,Female-only (including Supernumerary),145
Indian Institute of Technology Jodhpur,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,147
Indian Institute of Technology Madras,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,148
Indian Institute of Technology Hyderabad,Artificial Intelligence (4 Years Bachelor of Technology),ST,Female-only (including Supernumerary),149
Indian Institute of Technology Bombay,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,151
Indian Institute of Technology Delhi,Electrical Engineering (Power and Automation) (4 Years Bachelor of Technology),ST,Gender-Neutral,152
Indian Institute of Technology Delhi,Mathematics and Computing (5 Years Bachelor and Master of Technology (Dual Degree)),SC,Gender-Neutral,154
Indian Institute of Technology Indore,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,154
Indian Institute of Technology Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,154
Indian Institute of Technology (BHU) Varanasi,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,155
Indian Institute of Technology Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,156
Indian Institute of Technology Hyderabad,Computational Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,158
Indian Institute of Technology Palakkad,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,160
Indian Institute of Technology Delhi,Computer Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),OBC-NCL,Gender-Neutral,163
Indian Institute of Technology Bhubaneswar,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,164
Indian Institute of Technology Delhi,Computer Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),EWS,Female-only (including Supernumerary),164
Indian Institute of Technology Madras,Artificial Intelligence and Data Analytics (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,164
Indian Institute of Technology Hyderabad,Mathematics and Computing (4 Years Bachelor of Technology),EWS,Gender-Neutral,165
Indian Institute of Technology Hyderabad,Industrial Chemistry (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,166
Indian Institute of Technology Tirupati,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,167
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-only (including Supernumerary),171
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,171
